index,bacteria,chemical,concentration,model,t_min,t_max,t_range,y_min,y_max_data,y_mean,y_std,y_range,y_mean_adjusted,y_std_adjusted,auc_per_hour,y0,ymax,mu_max,h0,t_lag,r_squared,delta_y_max,delta_nu_max,delta_t_lag,delta_auc_per_hour,delta_sum,delta_y_max_norm,delta_nu_max_norm,delta_t_lag_norm,delta_auc_per_hour_norm,delta_sum_norm
1406,Akkermansia muciniphila ATCC BAA-835,DEA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.10993,0.1369,0.11305,0.00367,0.02697,0.00312,0.00367,0.11299,0.12043,0.11067,0.0,3.04948,48.0,0.83077,-0.0466,-0.11673,39.39255,-0.0543,39.17492,0.2062054573188807,-0.058998939306142646,-1.39120205536241,0.1270241646910892,-1.1169713726585828
1407,Akkermansia muciniphila ATCC BAA-835,DEA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.1026,0.1127,0.10639,0.00307,0.0101,0.00379,0.00307,0.10638,0.11131,0.10349,0.0,3.97751,48.0,0.95641,-0.0708,-0.11673,39.39255,-0.06090999999999999,39.14411,0.05063625427579093,-0.058998939306142646,-1.39120205536241,0.08421419245933161,-1.3153505479334302
1409,Akkermansia muciniphila ATCC BAA-835,DETA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.10697,0.93503,0.33903,0.26296,0.82806,0.23206,0.26296,0.33803,0.10682,1.16591,0.14968,5.30736,35.45906,0.99937,0.75153,0.03295000000000001,26.85161,0.17074,27.806829999999998,2.8623321013118863,0.8462870273081667,-0.7578047927758433,2.110301985362348,5.0611163212065575
1410,Akkermansia muciniphila ATCC BAA-835,DETA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.11033,0.13527,0.12246,0.00632,0.02494,0.01213,0.00632,0.1224,0.11448,0.12905,0.19364,4.13368,21.34722,0.77966,-0.048229999999999995,0.07691,12.73977,-0.04489,12.723559999999999,0.1935158828232299,1.0748610151765678,-0.30606539803911337,0.21874215253706353,1.181053652497748
1411,Akkermansia muciniphila ATCC BAA-835,DETA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.11043,0.12727,0.11599,0.00439,0.01684,0.00556,0.00439,0.11598,0.12144,0.11135,0.0,7.1856,48.0,0.9778,-0.05623,-0.11673,39.39255,-0.051309999999999995,39.168279999999996,0.1286370862530495,-0.058998939306142646,-1.39120205536241,0.1599402475592883,-1.1616236608562147
1412,Akkermansia muciniphila ATCC BAA-835,DETA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.10453,0.20377,0.10933,0.01036,0.09924,0.0048,0.01036,0.1091,0.20094,0.10779,0.0,2.38059,48.0,0.96236,0.02027000000000001,-0.11673,39.39255,-0.05818999999999999,39.237899999999996,0.8102619066016525,-0.058998939306142646,-1.39120205536241,0.09811275401132188,-0.5418263340555782
1413,Akkermansia muciniphila ATCC BAA-835,Spermine NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.1163,0.1336,0.12804,0.00407,0.0173,0.01174,0.00407,0.12805,0.11833,0.12985,0.72501,5.36822,7.4043,0.83358,-0.0499,0.60828,-1.20315,-0.03924,-0.6840099999999998,0.1731897955939712,2.224939217549159,1.2100372676404678,0.2992989199077429,3.907465200691341
1414,Akkermansia muciniphila ATCC BAA-835,Spermine NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.10753,0.11753,0.11111,0.00217,0.01,0.00358,0.00217,0.11109,0.115,0.11012,0.0,4.95055,48.0,0.61827,-0.06597,-0.11673,39.39255,-0.0562,39.153650000000006,0.0819608052776881,-0.058998939306142646,-1.39120205536241,0.11453833767522437,-1.2537018517156402
1415,Akkermansia muciniphila ATCC BAA-835,Spermine NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.1068,0.11683,0.10981,0.00246,0.01003,0.00301,0.00246,0.1098,0.11409,0.10744,0.0,2.94387,48.0,0.94654,-0.06667,-0.11673,39.39255,-0.05749,39.15166,0.07475398535644803,-0.058998939306142646,-1.39120205536241,0.10688836309857593,-1.2685586462135288
1416,Akkermansia muciniphila ATCC BAA-835,Spermine NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.1121,0.11783,0.11529,0.00125,0.00573,0.00319,0.00125,0.1153,0.11636,0.11428,0.0,7.12899,48.0,0.50446,-0.06566999999999999,-0.11673,39.39255,-0.051989999999999995,39.158159999999995,0.0876366205604291,-0.058998939306142646,-1.39120205536241,0.15012053170276118,-1.2124438424053623
